Package,Built
acepack,3.6.1
askpass,3.6.1
assertthat,3.6.1
backports,3.6.0
base64enc,3.6.0
BH,3.6.0
broom,3.6.1
callr,3.6.1
cellranger,3.6.1
checkmate,3.6.1
cli,3.6.1
clipr,3.6.1
clisymbols,3.6.2
coin,3.6.2
colorspace,3.6.1
crayon,3.6.1
curl,3.6.1
data.table,3.6.1
DBI,3.6.1
dbplyr,3.6.1
desc,3.6.2
digest,3.6.1
dplyr,3.6.1
ellipsis,3.6.1
evaluate,3.6.1
exactRankTests,3.6.1
fansi,3.6.1
forcats,3.6.1
Formula,3.6.0
fs,3.6.2
generics,3.6.1
ggplot2,3.6.0
git2r,3.6.2
glue,3.6.1
gridExtra,3.6.1
gtable,3.6.1
haven,3.6.1
here,3.6.2
highr,3.6.1
Hmisc,3.6.1
hms,3.6.1
htmlTable,3.6.1
htmltools,3.6.1
htmlwidgets,3.6.1
httr,3.6.1
ini,3.6.2
installr,3.6.2
jsonlite,3.6.1
kableExtra,3.6.1
knitr,3.6.1
labeling,3.6.0
latticeExtra,3.6.1
lazyeval,3.6.1
libcoin,3.6.2
lifecycle,3.6.1
lubridate,3.6.1
magrittr,3.6.1
markdown,3.6.1
matrixStats,3.6.2
mime,3.6.0
modelr,3.6.1
modeltools,3.6.0
multcomp,3.6.2
munsell,3.6.1
mvtnorm,3.6.0
openssl,3.6.1
pillar,3.6.1
pkgconfig,3.6.1
plogr,3.6.1
plyr,3.6.1
prettyunits,3.6.1
processx,3.6.1
progress,3.6.1
ps,3.6.1
purrr,3.6.1
R6,3.6.1
RColorBrewer,3.6.0
Rcpp,3.6.1
readr,3.6.1
readxl,3.6.1
rematch,3.6.1
reprex,3.6.1
reshape2,3.6.1
rlang,3.6.1
rmarkdown,3.6.1
rprojroot,3.6.1
rstudioapi,3.6.1
rvest,3.6.1
sandwich,3.6.2
scales,3.6.1
selectr,3.6.1
stringi,3.6.0
stringr,3.6.1
sys,3.6.1
TH.data,3.6.2
tibble,3.6.1
tidyr,3.6.1
tidyselect,3.6.1
tidyverse,3.6.1
tinytex,3.6.0
usethis,3.6.2
utf8,3.6.1
vctrs,3.6.1
viridis,3.6.1
viridisLite,3.6.1
webshot,3.6.1
whisker,3.6.1
withr,3.6.1
xfun,3.6.1
xml2,3.6.1
yaml,3.6.0
zeallot,3.6.1
zoo,3.6.2
translations,3.6.2
